page_url,revenue_millions,industry,year_founded,employees
https://www.inc.com/profile/china-metal-solutions,3.1,Manufacturing,2015,NA
https://www.inc.com/profile/bluesky-resource-solutions,6.7,Business Products & Services,2013,98
https://www.inc.com/profile/centauri-health-solutions,84.8,Health,2014,941
https://www.inc.com/profile/celltrade-ny,12.4,Consumer Products & Services,2015,11
https://www.inc.com/profile/exabeam,38.8,Security,2013,274
https://www.inc.com/profile/kinsmen-group,4,Software,2015,21
https://www.inc.com/profile/owens-recovery-science,5.4,Health,2015,6
https://www.inc.com/profile/winit,6.5,Consumer Products & Services,2014,6
https://www.inc.com/profile/techolution,9.8,IT System Development,2014,176
https://www.inc.com/profile/solvix-solutions,20.4,Computer Hardware,2013,NA
https://www.inc.com/profile/lovebug-probiotics,3.1,Consumer Products & Services,2015,NA
https://www.inc.com/profile/nationwide-pharmaceutical,7.1,Government Services,2014,12
https://www.inc.com/profile/freedom-forever,101.1,Energy,2013,358
https://www.inc.com/profile/alpha-omega-integration,25.1,Government Services,2010,145
https://www.inc.com/profile/arsenal-strength,4.7,Business Products & Services,2014,4
https://www.inc.com/profile/capital-brand-group,3.5,Construction,2013,16
https://www.inc.com/profile/fedwriters,5.4,Government Services,2010,NA
https://www.inc.com/profile/sethmar-transportation,9.2,Logistics & Transportation,1999,18
https://www.inc.com/profile/hyperion-partners,18.5,Telecommunications,2012,36
https://www.inc.com/profile/arcalea,2.8,Advertising & Marketing,2015,NA
https://www.inc.com/profile/haga-kommer,5.5,Financial Services,2006,55
https://www.inc.com/profile/waggl,4.4,Software,2014,55
https://www.inc.com/profile/roman-roofing,21.8,Construction,2015,71
https://www.inc.com/profile/akumina,4.4,Software,2011,48
https://www.inc.com/profile/shipmonk,28.4,Logistics & Transportation,2014,350
https://www.inc.com/profile/brillmediaco,4,Advertising & Marketing,2013,5
https://www.inc.com/profile/rocket-insights,13.6,Software,2015,58
https://www.inc.com/profile/tridant-solutions,3,Government Services,2005,42
https://www.inc.com/profile/esc-choice,20.6,Human Resources,2009,545
https://www.inc.com/profile/nugget,3,Consumer Products & Services,2014,15
https://www.inc.com/profile/octopi-brewing,4.9,Manufacturing,2014,36
https://www.inc.com/profile/knowbe4,72.3,Security,2010,NA
https://www.inc.com/profile/kinect-solar,13.3,Energy,2015,8
https://www.inc.com/profile/compliancequest,2.5,Software,2013,60
https://www.inc.com/profile/decisionpoint,15.9,IT Management,2011,100
https://www.inc.com/profile/bombas,100.8,Consumer Products & Services,2013,NA
https://www.inc.com/profile/jonas-paul-eyewear,3,Consumer Products & Services,2013,12
https://www.inc.com/profile/tamimi-pharmacy,15.5,Health,2013,40
https://www.inc.com/profile/ad-hoc,53.1,Government Services,2014,199
https://www.inc.com/profile/valify,3.1,Software,2014,NA
