page_url,revenue_millions,industry,year_founded,employees,website,Revenue,3 Years Growth,Traffic Overview,% Search Traffic,Is Homepage Secure?,id
https://www.inc.com/profile/10x-genomics,146.3,Health,2012,380,10xgenomics.com,146.3 M,4309%,259700,60.43%,Secure,69
https://www.inc.com/profile/4th-heart,14.3,Food & Beverage,2014,7,fourthandheart.com,14.3 M,4283%,NA,73.06%,Secure,70
https://www.inc.com/profile/greenprint,6.2,Energy,2014,13,greenprintcorp.com,6.2 M,4281%,NA,22.32%,Not Secure,71
https://www.inc.com/profile/sky-marketing-corporation,4.7,Consumer Products & Services,2015,30,smcdistribution.com,4.7 M,4280%,NA,NA,Not Secure,72
https://www.inc.com/profile/pendo,20.9,Software,2013,258,pendo.io,20.9 M,4267%,210450,26.87%,Secure,73
https://www.inc.com/profile/core-software-technologies,4.6,Software,2011,39,coresofttech.com,4.6 M,4247%,NA,22.37%,Not Secure,74
https://www.inc.com/profile/ecosystems,6.7,Environmental Services,2012,36,ecosystems.com,6.7 M,4234%,NA,38.51%,Secure,75
https://www.inc.com/profile/brickell-mens-products,10,Health,2014,35,brickellmensproducts.com,10 M,4208%,314030,64.56%,Secure,76
https://www.inc.com/profile/patton-warehousing,8.2,Logistics & Transportation,2015,78,pattonwarehousing.com,8.2 M,4138%,NA,NA,Secure,77
https://www.inc.com/profile/sydantech,4.3,Government Services,2000,14,sydantech.com,4.3 M,4091%,NA,NA,Secure,78
https://www.inc.com/profile/wt-stevens-construction,7.2,Construction,2002,40,wtstevens.com,7.2 M,4090%,NA,47.97%,Not Secure,79
https://www.inc.com/profile/wandrd,4.7,Consumer Products & Services,2015,12,wandrd.com,4.7 M,4088%,137600,45.00%,Secure,80
https://www.inc.com/profile/confidio,16.3,Health,2014,38,confidio.com,16.3 M,4035%,NA,40.46%,Secure,81
https://www.inc.com/profile/dynamic-logistix,54.4,Logistics & Transportation,2015,50,dynamiclogistix.com,54.4 M,3840%,NA,29.93%,Not Secure,82
https://www.inc.com/profile/asset-panda,5.1,Software,2012,NA,assetpanda.com,5.1 M,3779%,206860,17.35%,Secure,83
https://www.inc.com/profile/seabay-building-group,25.8,Construction,2013,25,seabay-group.com,25.8 M,3775%,NA,NA,Secure,84
https://www.inc.com/profile/blue-fire-leads,9,Advertising & Marketing,2014,13,bluefireleads.com/home,9 M,3728%,NA,100.00%,Secure,85
https://www.inc.com/profile/loanatik,9,Financial Services,2015,19,loanatik.com,9 M,3692%,NA,97.04%,Secure,86
https://www.inc.com/profile/supportninja,4.5,Business Products & Services,2015,463,supportninja.com,4.5 M,3684%,NA,74.05%,Secure,87
https://www.inc.com/profile/grove-collaborative,104.1,Consumer Products & Services,2012,"1,200",grove.co,104.1 M,3665%,2540000,20.87%,Secure,88
https://www.inc.com/profile/cisoshare,3.9,Security,2015,25,cisoshare.com,3.9 M,3623%,NA,58.65%,Secure,89
https://www.inc.com/profile/digitalonus,10.4,IT System Development,2015,178,digitalonus.com,10.4 M,3535%,NA,49.52%,Secure,90
https://www.inc.com/profile/gforce-life-sciences,14.4,Human Resources,2013,49,gforcelifesciences.com,14.4 M,3532%,NA,43.50%,Secure,91
https://www.inc.com/profile/capitol-bridge,6.4,Government Services,2012,35,capitolbridgellc.com,6.4 M,3469%,NA,43.99%,Secure,92
https://www.inc.com/profile/kentucky-counseling-center,4.9,Health,2014,19,kentuckycounselingcenter.com,4.9 M,3418%,NA,60.22%,Secure,93
https://www.inc.com/profile/shefit,6.6,Retail,2013,25,shefit.com,6.6 M,3400%,202210,36.49%,Secure,94
https://www.inc.com/profile/us-mobile,7.3,Telecommunications,2014,65,usmobile.com,7.3 M,3388%,600620,36.16%,Secure,95
https://www.inc.com/profile/feedonomics,7.4,Advertising & Marketing,2014,85,feedonomics.com,7.4 M,3371%,71460,36.87%,Secure,96
https://www.inc.com/profile/amenity-health,15.3,Health,2011,16,amenityhealth.com,15.3 M,3358%,NA,33.21%,Not Secure,97
https://www.inc.com/profile/payability,13.7,Financial Services,2014,54,payability.com,13.7 M,3350%,116500,25.40%,Secure,98
https://www.inc.com/profile/eagle-transport-and-logistics,4.8,Logistics & Transportation,2014,35,theeagletransport.com,4.8 M,3340%,NA,NA,Secure,99
https://www.inc.com/profile/shipbob,34.2,Logistics & Transportation,2014,450,shipbob.com,34.2 M,3326%,266370,41.05%,Secure,100
https://www.inc.com/profile/powerhome-solar,102.9,Construction,2015,585,powerhome.com,102.9 M,3307%,NA,NA,Secure,101
https://www.inc.com/profile/lendingone,13.9,Financial Services,2014,50,lendingone.com,13.9 M,3279%,50000,32.36%,Not Secure,102
https://www.inc.com/profile/ownbackup,9,Software,2015,86,ownbackup.com,9 M,3245%,50000,31.90%,Secure,103
https://www.inc.com/profile/invictus-international-consulting,33,Government Services,2014,151,invictusic.com,33 M,3215%,50000,100.00%,Secure,104
https://www.inc.com/profile/go-energistics,14.4,Construction,2011,46,goenergistics.com,14.4 M,3210%,50000,NA,Secure,105
https://www.inc.com/profile/total-expert,11.1,Software,2014,180,totalexpert.com,11.1 M,3206%,50000,46.29%,Secure,106
https://www.inc.com/profile/buzzybooth,3.5,Business Products & Services,2015,18,buzzybooth.com,3.5 M,3201%,50000,29.71%,Not Secure,107
https://www.inc.com/profile/carolin-soldo-coaching-events,3.9,Business Products & Services,2015,NA,carolinsoldo.com,3.9 M,3179%,50000,68.01%,Not Secure,108
https://www.inc.com/profile/cognira,7.6,Software,2015,50,cognira.com,7.6 M,3136%,50000,57.20%,Secure,109
https://www.inc.com/profile/b3-group,59.3,Government Services,2008,145,b3groupinc.com,59.3 M,3134%,50000,65.07%,Secure,110
https://www.inc.com/profile/inspiranza-designs,4.7,Retail,2005,10,inspiranzadesigns.com,4.7 M,3099%,NA,25.16%,Secure,111
https://www.inc.com/profile/onesourcepcs,7.8,Government Services,2002,52,onesourcepcs.com,7.8 M,3051%,50000,NA,Not Secure,112
https://www.inc.com/profile/cience-technologies,3.8,Advertising & Marketing,2015,310,cience.com,3.8 M,3050%,50000,54.62%,Secure,113
https://www.inc.com/profile/restore-hyper-wellness,5.1,Health,2015,15,restore.com,5.1 M,3031%,50000,50.47%,Secure,114
https://www.inc.com/profile/sweet-lorens,6.4,Food & Beverage,2010,5,sweetlorens.com,6.4 M,3026%,50000,72.20%,Secure,115
https://www.inc.com/profile/copper,19,Software,2013,191,copper.com,19 M,3023%,NA,49.04%,Secure,116
https://www.inc.com/profile/5-star-roofing-and-restoration,3.3,Construction,2015,40,5starroofer.com,3.3 M,2994%,50000,59.25%,Not Secure,117
https://www.inc.com/profile/digitalcrafts,3.1,Education,2015,30,digitalcrafts.com,3.1 M,2957%,50000,72.54%,Secure,118
